Symbol,Name,Sector,Industry,Exchange,Country,Currency,MarketCapitalization
AAPL,Apple Inc,TECHNOLOGY,ELECTRONIC COMPUTERS,NASDAQ,USA,USD,2959053160000
MSFT,Microsoft Corporation,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,NASDAQ,USA,USD,2734069121000
GOOGL,Alphabet Inc Class A,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",NASDAQ,USA,USD,1854733287000
AMZN,Amazon.com Inc,TRADE & SERVICES,RETAIL-CATALOG & MAIL-ORDER HOUSES,NASDAQ,USA,USD,1831806435000
TSLA,Tesla Inc,MANUFACTURING,MOTOR VEHICLES & PASSENGER CAR BODIES,NASDAQ,USA,USD,776371372000
META,Meta Platforms Inc.,TECHNOLOGY,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",NASDAQ,USA,USD,1270579855000
NFLX,Netflix Inc,TRADE & SERVICES,SERVICES-VIDEO TAPE RENTAL,NASDAQ,USA,USD,416220414000
NVDA,NVIDIA Corporation,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,NASDAQ,USA,USD,2476355879000
INTC,Intel Corporation,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,NASDAQ,USA,USD,82545967000
